          x(meter)            y(meter)                 u(m/s)              v(m/s)
        560611.06250        4404184.00000              0.01399             -0.01432
        562571.25000        4402841.50000              0.02614              0.04368
        557901.37500        4403157.50000              0.03895             -0.00763
        556396.75000        4400321.00000              0.01170              0.03121
        557553.37500        4398015.00000             -0.00497              0.01407
        556108.68750        4394903.00000             -0.01925              0.01129
        558067.75000        4393003.50000             -0.02927              0.00918
        553247.68750        4393863.50000             -0.02405              0.01808
        552438.68750        4390281.50000             -0.02193              0.00006
        549382.68750        4389196.50000             -0.01116              0.00831
        546626.37500        4391435.00000             -0.00919              0.00617
        543188.81250        4389391.00000             -0.00857              0.01431
        540287.68750        4391521.50000             -0.01376              0.01097
        537004.75000        4390512.50000              0.00998             -0.00214
        535458.81250        4386576.00000              0.00298              0.01367
        536666.06250        4382093.50000             -0.00181              0.00714
        532848.18750        4378165.00000              0.00042              0.00628
        532349.56250        4372484.50000             -0.00171              0.00297
        526747.06250        4370095.50000              0.00883              0.00030
        524161.46875        4365658.50000              0.01239              0.00503
        526436.62500        4360673.50000              0.00960              0.00559
        522327.06250        4356396.50000              0.01493              0.00532
        523079.59375        4350998.00000              0.00581              0.00676
        518065.00000        4348060.00000              0.00971              0.00680
        517707.28125        4342673.00000              0.01164              0.00549
        512448.12500        4339425.50000              0.01687              0.00397
        513219.78125        4333270.00000              0.00943              0.00290
        509241.84375        4329721.50000              0.01577              0.00535
        510490.93750        4323906.50000              0.01159              0.00694
        505838.87500        4320922.50000              0.00464              0.00185
        506006.93750        4315299.50000              0.01493              0.00344
        501163.78125        4312576.00000              0.00622              0.00546
        501827.00000        4306495.00000              0.00747              0.00486
        497397.06250        4303551.00000              0.01130              0.00745
        498203.87500        4297267.00000              0.00585              0.00435
        493763.40625        4294115.50000              0.00724              0.00542
        494215.00000        4287936.00000              0.00262              0.00533
        489708.43750        4284933.50000              0.00290              0.00424
        490106.59375        4278919.50000              0.00304              0.00423
        485654.21875        4275912.00000              0.00320              0.00383
        486189.15625        4269753.00000              0.00138              0.00490
        481854.59375        4266645.00000              0.00037              0.00646
        482543.75000        4260401.50000              0.00098              0.00759
        478306.75000        4257285.00000              0.00253              0.00548
        479115.93750        4251074.00000              0.00209              0.00691
        474914.25000        4247964.50000              0.00303              0.00752
        475755.06250        4241717.50000              0.00304              0.00744
        471546.56250        4238571.00000              0.00494              0.00794
        472379.93750        4232338.50000              0.00686              0.00982
        468190.87500        4229184.00000              0.00567              0.01123
        468990.25000        4222968.50000              0.00621              0.01338
        464673.15625        4219874.00000              0.00289              0.01390
        465238.56250        4213797.50000              0.00405              0.01698
        460537.78125        4210950.50000              0.00186              0.01699
        460722.12500        4205197.00000              0.00168              0.01885
        455652.78125        4202613.50000              0.00051              0.01147
        455723.68750        4197143.50000             -0.00325              0.00873
        450530.56250        4194469.50000              0.00429              0.00572
        451066.71875        4189527.75000              0.00404             -0.00515
        455946.59375        4186497.25000              0.00310              0.01087
        454813.18750        4181785.50000              0.00989             -0.00250
        456850.65625        4177743.00000              0.02294              0.01260
        460788.09375        4177297.00000              0.03255              0.02315
        462441.90625        4173126.50000              0.06412              0.06681
        460891.59375        4169886.00000              0.01091              0.10588
        462607.06250        4166483.50000              0.03001              0.16335
        465088.50000        4166053.75000              0.03321              0.27201
        460110.81250        4163500.25000             -0.00777              0.10743
        460846.78125        4160772.00000             -0.07440              0.12280
        459304.46875        4158581.00000             -0.20492              0.09523
        461098.93750        4156407.75000             -0.23573              0.08092
        459956.59375        4154492.50000             -0.06798             -0.02542
        461249.06250        4152617.50000             -0.00703             -0.03404
        459856.06250        4150791.75000              0.13116             -0.09974
        460903.93750        4148916.00000              0.16220             -0.10059
        463018.78125        4148498.25000              0.21638             -0.07195
        463604.90625        4146687.00000              0.07053             -0.09936
        465557.37500        4146090.25000              0.20081              0.00249
        466206.43750        4144733.50000              0.43745              0.11306
        465313.78125        4143949.50000              0.37707              0.13169
        559340.87500        4408703.00000              0.00649             -0.00108
        557017.50000        4407842.00000              0.00760              0.00887
        556238.50000        4405274.50000              0.05776              0.02350
        553542.93750        4404835.00000              0.02935              0.01869
        552374.50000        4402758.00000              0.03800              0.03975
        553565.50000        4400360.50000              0.01138             -0.00281
        551454.31250        4398478.50000              0.00329              0.02839
        551074.56250        4395735.00000             -0.01138              0.02394
        547509.31250        4394391.00000             -0.00458              0.01941
        545812.75000        4396203.50000             -0.00645              0.02401
        543304.68750        4396619.50000             -0.02590              0.02490
        540810.37500        4395445.50000             -0.00585             -0.03125
        539024.43750        4397786.50000              0.01923              0.03976
        536398.18750        4398338.00000             -0.02259             -0.00195
        534252.81250        4396928.50000             -0.01428              0.00919
        534346.68750        4393716.00000             -0.01411             -0.01518
        531355.25000        4393112.00000             -0.00578              0.01905
        530469.68750        4390238.50000             -0.00768             -0.00296
        531915.18750        4386906.00000             -0.00163              0.00317
        529336.06250        4384128.00000              0.00546              0.00593
        529061.81250        4379869.50000             -0.00224              0.00408
        524655.37500        4378268.00000              0.00319              0.00634
        522839.25000        4374174.50000             -0.00039              0.00188
        517553.90625        4373928.00000              0.00472              0.00563
        514830.40625        4369839.00000              0.00285              0.00772
        517530.15625        4365648.50000              0.00737              0.00692
        514434.06250        4361330.00000              0.01229              0.00852
        516955.81250        4357063.00000              0.00640              0.00864
        514214.90625        4351897.50000              0.01164              0.00468
        508870.78125        4351682.50000              0.01294             -0.00086
        506056.12500        4347301.00000              0.01080              0.00378
        507397.53125        4341716.00000              0.00903              0.00256
        501799.46875        4338973.00000              0.01639              0.00030
        499889.68750        4333891.50000              0.01212              0.00257
        503389.06250        4330017.50000              0.00943              0.00063
        501274.43750        4324358.50000              0.01292              0.00735
        495774.15625        4322375.50000              0.00259              0.00688
        495495.46875        4316215.50000              0.01143              0.01356
        490341.06250        4313029.50000              0.01068              0.00457
        491579.43750        4306446.00000              0.00740              0.00599
        487711.12500        4302842.50000              0.01341              0.00602
        489088.25000        4296796.50000              0.00764              0.00229
        484500.50000        4293820.50000              0.00564              0.00406
        484669.09375        4288137.50000              0.00199              0.00476
        480159.43750        4285387.50000              0.00272              0.00363
        480746.40625        4279175.50000              0.00362              0.00453
        476369.18750        4276151.00000              0.00263              0.00428
        476942.40625        4269779.00000             -0.00078              0.00701
        472562.25000        4266816.00000              0.00146              0.00539
        473237.40625        4260566.00000              0.00072              0.00626
        468973.75000        4257529.50000              0.00078              0.00621
        469841.40625        4251139.50000              0.00093              0.00808
        465632.34375        4248064.00000              0.00307              0.00563
        466496.68750        4241742.50000              0.00272              0.00679
        462302.46875        4238664.00000              0.00274              0.00731
        463163.25000        4232338.00000              0.00328              0.00900
        459028.53125        4229285.50000              0.00251              0.00805
        459739.03125        4223037.00000              0.00351              0.00990
